Id;ticker_BCh;company_BCh;tickersect;sector;Market CapFV;ExchangeFV;Country
6292;RMTN;Rocky Mountain Ayre Inc.;DJUSSP;SPECIALTY FINANCE;;;
6281;RMCF;Rocky Mountain Chocolate Factory Inc.;DJUSFO;FARMING & FISHING;74.72;NASDAQ;USA
6367;RSTI;Rofin-Sinar Technologies Inc.;DJUSAI;ELECTRONIC EQUIPMENT;599.41;NASDAQ;USA
6144;RCI;Rogers Communications Inc. Cl B;DJUSWC;MOBILE TELECOMMUNICATIONS;;;
6309;ROG;Rogers Corp.;DJUSEC;ELECTRICAL COMPONENTS & EQUIPMENT;1027.13;NYSE;USA
6354;RSGUF;Rogers Sugar Inc.;DJUSFO;FARMING & FISHING;;;
6311;ROHCY;Rohm Co. Ltd. ADS;DJUSSC;SEMICONDUCTORS;;;
6316;ROII;ROI Land Investments Ltd.;DJUSBE;BUSINESS TRAINING & EMPLYMENT;;;
6318;ROKA;Roka Bioscience Inc.;DJUSAM;MEDICAL EQUIPMENT;164.67;NASDAQ;USA
6319;ROL;Rollins Inc.;DJUSCS;SPECIALIZED CONSUMER SERVICES;4352.1;NYSE;USA
6407;RYCEF;Rolls-Royce Holdings PLC;DJUSAS;AEROSPACE;;;
6408;RYCEY;Rolls-Royce Holdings PLC ADS;DJUSAS;AEROSPACE;;;
6379;RTRAF;Romarco Minerals Inc.;DJUSPM;GOLD MINING;;;
6287;RMIOF;Romios Gold Resources Inc.;DJUSPM;GOLD MINING;;;
6289;RMLX;RoomLinX Inc.;DJUSNS;INTERNET;;;
6377;RTNB;root9B Technologies Inc.;DJUSSW;SOFTWARE;;;
6321;ROP;Roper Industries Inc.;DJUSAI;ELECTRONIC EQUIPMENT;15122.53;NYSE;USA
6348;RRMS;Rose Rock Midstream L.P.;DJUSPL;PIPELINES;1772.88;NYSE;USA
6323;ROSG;Rosetta Genomics Ltd.;DJUSBT;BIOTECHNOLOGY;;;
6322;ROSE;Rosetta Resources Inc.;DJUSOS;EXPLORATION & PRODUCTION ;2249.55;NASDAQ;USA
6366;RST;Rosetta Stone Inc.;DJUSSW;SOFTWARE;171.89;NYSE;USA
6324;ROST;Ross Stores Inc.;DJUSRA;APPAREL RETAILERS;16891.32;NASDAQ;USA
6325;ROSV;Rostock Ventures Corp.;DJUSMD;GENERAL MINING;;;
6307;ROBK;Rotate Black Inc.;DJUSCA;GAMBLING;;;
6312;ROHIQ;Rotech Healthcare Inc (Old);DJUSHP;HEALTH CARE PROVIDERS;;;
6378;RTOXY;Rotork PLC ADS;DJUSFE;INDUSTRIAL MACHINERY;;;
6294;RNDY;Roundy's Inc.;DJUSFD;FOOD RETAILERS & WHOLESALERS;154.56;NYSE;USA
6352;RSE;Rouse Properties Inc.;DJUSRL;RETAIL REITS;1010.45;NYSE;USA
6326;ROVI;Rovi Corp.;DJUSSW;SOFTWARE;1923.62;NASDAQ;USA
6152;RDC;Rowan Cos. PLC;DJUSOI;OIL EQUIPMENT & SERVICES;2950.89;NYSE;USA
6310;ROGFF;Roxgold Inc.;DJUSMD;GENERAL MINING;;;
6125;RBPAA;Royal Bancshares of Pennsylvania Cl A;DJUSBK;BANKS;47.71;NASDAQ;USA
6404;RY;Royal Bank of Canada;DJUSBK;BANKS;;;
8179;YGRO;Royal Bank of Canada ETN due July 19, 2034 Linked to the Yorkville MLP Distribution Growth Leaders Liquid PR Index;DJUSBK;BANKS;;;
6136;RBS.PQ;Royal Bank of Scotland ADS Pfd. Q;DJUSBK;BANKS;;;
6134;RBS.PN;Royal Bank of Scotland Group ADS Series N;DJUSBK;BANKS;;;
6137;RBS.PR;Royal Bank of Scotland Group ADS Series R;DJUSBK;BANKS;;;
6126;RBS;Royal Bank of Scotland Group PLC ADS;DJUSBK;BANKS;;;
6128;RBS.PF;Royal Bank of Scotland Group PLC ADS Pfd. F;DJUSBK;BANKS;;;
6130;RBS.PH;Royal Bank of Scotland Group PLC ADS Pfd. Series H;DJUSBK;BANKS;;;
6135;RBS.PP;Royal Bank of Scotland Group PLC ADS Pfd. Series P;DJUSBK;BANKS;;;
6132;RBS.PL;Royal Bank of Scotland Group PLC ADS Series L;DJUSBK;BANKS;;;
6133;RBS.PM;Royal Bank of Scotland Group PLC ADS Series M;DJUSBK;BANKS;;;
6138;RBS.PS;Royal Bank of Scotland Group PLC ADS Series S;DJUSBK;BANKS;;;
6139;RBS.PT;Royal Bank of Scotland Group PLC ADS Series T;DJUSBK;BANKS;;;
6147;RCL;Royal Caribbean Cruises Ltd.;DJUSRQ;RECREATIONAL SERVICES;14350.11;NYSE;USA
6409;RYDAF;Royal Dutch Shell PLC A;DJUSOL;INTEGRATED OIL & GAS;;;
6161;RDS.B;Royal Dutch Shell PLC ADS B;DJUSOL;INTEGRATED OIL & GAS;;;
6160;RDS.A;Royal Dutch Shell PLC ADS Cl A;DJUSOL;INTEGRATED OIL & GAS;;;
6410;RYDBF;Royal Dutch Shell PLC B;DJUSOL;INTEGRATED OIL & GAS;;;
6225;RGLD;Royal Gold Inc.;DJUSPM;GOLD MINING;4293.99;NASDAQ;USA
5176;NNUTU;Royal Hawaiian Orchards L.P.;DJUSFO;FARMING & FISHING;;;
4171;KKPNY;Royal KPN N.V. ADS;DJUSFC;FIXED LINES TELECOMMUNICATIONS;;;
